着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),date,race_type,course_ren,weather,ground_state,horse_id,jockey_id
202101010108,9,2,2,ヒナノコバン,牡4,55.0,△秋山稔,2:00.9,4,8.0,15.2,36.4,2-3-4-8,美浦本間,458(-4),2021年6月12日,芝,2000,曇,良,2017105874,01181
202101010108,10,1,1,ノーブルキャニオン,牡3,51.0,▲小沢,2:01.7,5,10.0,35.0,36.8,9-9-9-10,栗東牧浦,470(+4),2021年6月12日,芝,2000,曇,良,2018104151,01185
202101010109,1,7,11,ゴダイリキ,牡3,54.0,吉田隼,1:46.4,,1.0,2.6,38.7,4-4-2-1,栗東牧浦,492(-6),2021年6月12日,ダ,1700,晴,良,2018103736,01095
202101010109,2,6,9,モズマゾク,牡3,51.0,▲小林凌,1:46.5,クビ,6.0,12.3,38.4,3-3-5-4,栗東南井,492(+14),2021年6月12日,ダ,1700,晴,良,2018101075,01177
202101010109,3,8,14,ベルゼール,牝3,49.0,★永島,1:47.0,3,4.0,10.0,38.4,9-9-8-6,栗東平田,446(+6),2021年6月12日,ダ,1700,晴,良,2018105202,01187
202101010109,4,4,6,ラルフ,牡3,54.0,団野,1:47.6,3.1/2,2.0,6.0,38.7,12-12-14-12,栗東荒川,484(0),2021年6月12日,ダ,1700,晴,良,2018101722,01180
202101010109,5,4,5,ノワールフレグラン,牝4,52.0,▲小沢,1:47.7,1,8.0,16.8,39.8,14-14-3-3,栗東西村,438(+2),2021年6月12日,ダ,1700,晴,良,2017105454,01185
202101010109,6,6,10,ゴーストレート,牡3,54.0,菊沢,1:47.7,アタマ,10.0,31.1,38.9,10-11-11-8,美浦菊沢,478(-12),2021年6月12日,ダ,1700,晴,良,2018104860,01161
202101010109,7,5,8,ラレイナ,牝3,52.0,横山武,1:47.9,1,3.0,6.0,39.6,5-6-6-5,美浦木村,430(-12),2021年6月12日,ダ,1700,晴,良,2018105316,01170
202101010109,8,3,3,マヤローザ,牝3,50.0,△泉谷,1:48.1,1,13.0,126.9,39.8,5-4-6-7,栗東大橋,432(+2),2021年6月12日,ダ,1700,晴,良,2018100600,01182
202101010109,9,3,4,キゾク,牡3,54.0,川又,1:48.2,1,12.0,49.0,40.5,2-2-1-2,栗東池添兼,492(+2),2021年6月12日,ダ,1700,晴,良,2018103993,01166
202101010109,10,7,12,キットサクラサク,牡4,57.0,丹内,1:48.6,2,11.0,34.6,40.1,5-6-8-9,美浦伊坂,464(-14),2021年6月12日,ダ,1700,晴,良,2017106020,01091
202101010109,11,2,2,オウケンロジータ,牝4,55.0,古川吉,1:48.8,1.1/4,7.0,16.3,40.2,8-8-8-9,栗東藤岡,500(+10),2021年6月12日,ダ,1700,晴,良,2017106232,01015
202101010109,12,8,13,ジェネシスムーン,牝3,50.0,△秋山稔,1:49.3,3,14.0,128.0,40.5,12-12-11-13,地方小野望,436(+8),2021年6月12日,ダ,1700,晴,良,2018106653,01181
