,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
2016102097,2020/01/18,1小倉1,曇,6.0,4歳以上1勝クラス,,13.0,1.0,1,10.7,4,6,荻野極,54,ダ1700,稍,**,1:46.8,0.9,**,8-6-6-6,30.2-38.1,38.3,458(-2),,,バラーディスト,,,,,,,
2016102097,2019/12/28,5阪神9,晴,7.0,3歳以上1勝クラス,,16.0,7.0,14,6.5,4,9,荻野極,54,ダ1800,稍,**,1:55.3,1.1,**,6-6-5-5,38.3-38.1,38.3,460(0),,,ハギノアトラス,,,,,,,
2016102097,2019/10/12,4京都3,雨,6.0,3歳以上1勝クラス,,9.0,4.0,4,4.0,3,4,幸英明,53,ダ1800,不,**,1:52.3,0.6,**,8-8-7-6,36.3-38.3,38.4,460(0),,,ププッピドゥ,110.0,,,,,,
2016102097,2019/09/21,4阪神6,曇,4.0,3歳以上1勝クラス,,9.0,8.0,8,6.6,4,3,幸英明,52,ダ1800,稍,**,1:54.4,0.1,**,3-3-2-2,38.5-36.5,36.5,460(+4),,,ルプレジール,190.0,,,,,,
2016102097,2019/08/11,2小倉6,晴,6.0,3歳未勝利,,16.0,8.0,15,2.8,1,1,幸英明,54,ダ1700,良,**,1:48.6,-0.4,**,4-4-2-2,30.1-40.2,40.1,456(-6),,,(メイショウミチノク),500.0,,,,,,
2016102097,2019/08/04,2小倉4,晴,4.0,3歳未勝利,,13.0,7.0,10,3.4,1,2,福永祐一,54,ダ1700,良,**,1:48.5,0.2,**,8-5-3-2,30.1-40.0,40.0,462(-2),,,ドンドンキードン,200.0,,,,,,
2016102097,2019/07/13,3中京5,小雨,6.0,3歳未勝利,,16.0,5.0,9,2.0,1,5,福永祐一,54,ダ1400,重,**,1:25.6,1.0,**,6-5,34.6-38.0,38.4,464(+6),,,カルカリーナ,50.0,,,,,,
2016102097,2019/03/02,1阪神3,晴,1.0,3歳未勝利,,12.0,8.0,12,4.5,3,3,福永祐一,54,ダ1800,稍,**,1:55.1,0.3,**,6-7-7-4,36.8-38.7,38.4,458(-4),,,オーパスメーカー,130.0,,,,,,
2016102097,2019/02/16,1東京7,晴,4.0,3歳新馬,,16.0,6.0,12,2.8,1,2,戸崎圭太,54,ダ1400,良,**,1:27.7,0.0,**,3-2,36.6-38.5,38.4,462(0),,,チバタリアン,240.0,,,,,,
2017101727,2021/07/25,1函館8,晴,8.0,3歳以上1勝クラス,,13.0,6.0,9,27.5,8,10,永島まな,51,ダ1700,良,**,1:48.4,2.5,**,2-2-1-1,30.1-38.3,40.8,490(+2),,,サヴァビアン,,,,,,,
2017101727,2021/07/10,1函館3,雨,7.0,3歳以上1勝クラス,,14.0,6.0,10,19.6,7,8,永島まな,51,ダ1700,稍,**,1:47.5,2.0,**,4-5-7-8,29.6-38.9,40.4,488(+8),,,キープイットシンポ,,,,,,,
2017101727,2021/02/06,1小倉7,晴,8.0,4歳以上1勝クラス,,14.0,8.0,13,12.1,7,中,藤岡康太,54,ダ1700,稍,**,,,**,1-1-9-14,29.1-37.9,,480(-16),,,ペイシャクレア,,,,,,,
2017101727,2020/11/15,3福島6,晴,3.0,3歳以上1勝クラス,,15.0,4.0,7,22.1,10,3,藤岡康太,53,ダ1700,良,**,1:48.0,0.6,**,2-2-2-2,30.3-38.6,39.1,496(+4),,,ノーチラス,190.0,,,,,,
2017101727,2020/11/01,3福島2,晴,3.0,3歳以上1勝クラス,,15.0,5.0,8,19.5,7,3,藤田菜七,51,ダ1700,良,**,1:48.6,0.3,**,1-1-1-1,30.6-38.7,39.0,492(-2),,,ココリモアナ,190.0,,,,,,
2017101727,2020/08/09,1札幌6,晴,7.0,3歳以上1勝クラス,,14.0,8.0,13,10.4,5,12,浜中俊,52,ダ1700,良,**,1:50.2,3.7,**,3-3-2-2,29.2-39.1,42.8,494(0),,,ドゥラモット,,,,,,,
2017101727,2020/07/26,1札幌2,晴,8.0,3歳以上1勝クラス,,8.0,8.0,8,4.5,4,4,藤岡康太,52,ダ1700,良,**,1:46.5,0.7,**,2-2-2-2,30.5-37.8,38.4,494(-6),,,ビオレイメル,110.0,,,,,,
2017101727,2020/07/05,2函館2,曇,2.0,3歳未勝利,,14.0,6.0,9,7.4,4,1,藤岡佑介,54,ダ1700,良,**,1:46.8,-0.3,**,2-2-2-1,29.8-39.9,39.8,500(-4),,,(ティケイプルメリア),510.0,,,,,,
2017101727,2020/05/10,3京都6,曇,1.0,3歳未勝利,,13.0,7.0,10,2.5,1,8,和田竜二,54,ダ1800,良,**,1:55.9,1.0,**,2-2-2-2,36.5-39.9,40.7,504(+2),,,エンカンタドーラ,,,,,,,
2017101727,2020/04/25,1福島5,晴,3.0,3歳未勝利,,15.0,4.0,7,2.6,1,2,和田竜二,54,ダ1700,良,**,1:49.0,2.1,**,1-1-1-2,30.5-39.8,41.9,502(+4),,,ペルルドール,200.0,,,,,,
2017101727,2020/03/28,2阪神1,曇,1.0,3歳未勝利,,13.0,5.0,7,7.4,4,3,和田竜二,54,ダ1800,不,**,1:54.7,0.1,**,2-2-2-1,38.4-37.0,37.0,498(-2),,,プリティーチャンス,130.0,,,,,,
2017101727,2020/03/15,1阪神6,晴,1.0,3歳未勝利,,9.0,6.0,6,17.6,4,3,和田竜二,54,ダ1800,重,**,1:57.8,0.6,**,2-2-2-1,39.7-37.3,37.9,500(+12),,,アルディフルール,130.0,,,,,,
2017101727,2020/02/22,2京都7,小雨,3.0,3歳新馬,,16.0,8.0,16,23.2,9,6,和田竜二,54,ダ1800,稍,**,1:56.8,1.9,**,3-3-3-3,36.3-39.2,40.8,488(0),,,メイショウドヒョウ,,,,,,,
2018105596,2022/01/12,姫路,曇,11.0,聖徳太子没後1400,,12.0,3.0,3,137.0,9,10,長尾翼玖,51,ダ1400,良,**,1:34.1,2.3,**,11-11-12-10,0.0-39.0,39.9,453(0),,,スターギア,,,,,,,
2018105596,2021/12/15,園田,晴,11.0,近畿畜産特別B1,,9.0,6.0,6,281.0,9,6,永井孝典,54,ダ1400,良,**,1:33.4,0.8,**,8-8-8-7,0.0-39.5,39.4,453(+2),,,エストラード,,,,,,,
2018105596,2021/12/01,園田,晴,11.0,近江米特別B1,,9.0,2.0,2,33.4,5,6,笹田知宏,54,ダ1400,重,**,1:35.9,1.3,**,8-8-8-7,0.0-39.9,40.3,451(-1),,,イコライザー,,,,,,,
2018105596,2021/11/09,園田,曇,11.0,宝塚特別B1,,12.0,7.0,10,76.5,9,6,鴨宮祥行,54,ダ1400,重,**,1:33.5,1.1,**,9-10-11-8,0.0-40.7,40.2,452(+2),,,アカリン,,,,,,,
2018105596,2021/10/20,園田,晴,11.0,ビオラ賞B1,,8.0,2.0,2,29.0,6,5,鴨宮祥行,54,ダ1400,良,**,1:33.5,1.6,**,3-3-3-3,0.0-39.3,40.5,450(-1),,,アカリン,13.0,,,,,,
2018105596,2021/09/23,園田,晴,12.0,リンドウ賞B1,,12.0,4.0,4,4.7,2,8,鴨宮祥行,54,ダ1400,良,**,1:32.7,1.8,**,10-9-9-9,0.0-40.3,40.8,451(+3),,,ゴーフォワード,,,,,,,
2018105596,2021/08/22,2札幌4,曇,8.0,3歳以上1勝クラス,,12.0,6.0,8,82.4,12,12,泉谷楓真,51,芝2000,良,**,2:04.0,1.7,**,7-5-8-8,37.6-34.9,35.3,448(-6),,,ファジェス,,,,,,,
2018105596,2021/07/18,1函館6,晴,7.0,3歳以上1勝クラス,,11.0,8.0,10,39.6,9,8,亀田温心,51,ダ1700,良,**,1:48.6,1.8,**,9-10-8-8,29.8-38.2,38.9,454(+2),,,ミヤビマドンナ,,,,,,,
2018105596,2021/07/10,1函館3,雨,7.0,3歳以上1勝クラス,,14.0,4.0,5,27.6,8,9,泉谷楓真,51,ダ1700,稍,**,1:47.7,2.2,**,11-10-10-9,29.6-38.9,40.2,452(+8),,,キープイットシンポ,,,,,,,
2018105596,2021/04/24,1新潟5,晴,4.0,3歳未勝利,,15.0,8.0,15,4.4,3,1,泉谷楓真,52,ダ1800,良,**,1:55.4,-0.3,**,11-10-7-7,36.9-38.9,38.0,444(-6),,,(アーティフィス),510.0,,,,,,
2018105596,2021/03/28,2中京6,小雨,1.0,3歳未勝利,,16.0,2.0,4,3.2,1,4,泉谷楓真,52,ダ1800,良,**,1:57.1,1.4,**,5-7-5-6,37.9-38.3,39.2,450(+2),,,マテンロウルビー,77.0,,,,,,
2018105596,2021/03/06,2小倉7,晴,3.0,3歳未勝利,,16.0,7.0,13,6.0,3,2,泉谷楓真,51,ダ1700,不,**,1:45.8,1.0,**,13-13-11-6,29.9-37.5,37.8,448(-6),,,ナオミゴゼン,200.0,,,,,,
2018105596,2021/01/31,1小倉6,晴,1.0,3歳未勝利,,14.0,7.0,12,12.8,5,3,泉谷楓真,51,ダ1700,稍,**,1:47.9,0.3,**,6-7-6-7,29.9-39.4,39.1,454(-4),,,ラブオブマイライフ,130.0,,,,,,
2018105596,2021/01/17,1小倉2,晴,1.0,3歳未勝利,,8.0,8.0,8,12.0,6,3,泉谷楓真,51,ダ1700,稍,**,1:49.7,0.7,**,3-3-4-3,30.0-39.7,40.1,458(+4),,,ウォーターアンク,130.0,,,,,,
2018105596,2020/10/31,4京都7,晴,1.0,2歳未勝利,,15.0,4.0,6,121.5,10,7,泉谷楓真,51,ダ1800,良,**,1:55.5,1.4,**,7-8-9-9,37.5-37.2,37.9,454(+4),,,パラディズム,,,,,,,
2018105596,2020/10/17,4京都3,雨,5.0,2歳新馬,,12.0,6.0,7,92.3,11,6,泉谷楓真,51,芝1800,重,**,1:52.7,1.4,**,8-8,38.5-35.6,35.8,450(0),,,ニホンピロマリブ,,,,,,,
2018104971,2022/02/05,1東京3,曇,7.0,4歳以上1勝クラス,,16.0,3.0,6,52.5,13,14,吉田豊,55,芝1600,良,**,1:34.7,1.4,**,5-4,34.8-34.5,35.7,500(+8),,,レフトゥバーズ,,,,,,,
2018104971,2021/10/31,4東京8,雨,6.0,3歳以上1勝クラス,,17.0,6.0,11,158.1,17,9,武藤雅,53,芝1600,良,**,1:34.0,0.6,**,12-12,34.9-34.9,34.5,492(-2),,,イズンシーラブリー,,,,,,,
2018104971,2021/10/16,4東京3,小雨,6.0,3歳以上1勝クラス,,16.0,8.0,15,6.4,4,10,岩田望来,53,ダ1400,良,**,1:26.1,1.6,**,2-3,35.1-37.2,38.7,494(-14),,,ティケイプルメリア,,,,,,,
2018104971,2021/08/07,1函館11,晴,8.0,3歳以上1勝クラス,,14.0,8.0,14,39.6,11,7,鮫島克駿,52,ダ1700,良,**,1:46.4,0.8,**,10-9-6-5,29.1-39.2,39.3,508(+12),,,マーチリリー,,,,,,,
2018104971,2021/07/10,1函館3,雨,7.0,3歳以上1勝クラス,,14.0,4.0,6,6.9,4,10,横山武史,52,ダ1700,稍,**,1:47.8,2.3,**,2-2-2-3,29.6-38.9,41.1,496(0),,,キープイットシンポ,,,,,,,
2018104971,2021/05/22,2東京9,曇,9.0,カーネーションC(1勝クラス),,9.0,8.0,8,25.8,5,7,武藤雅,54,芝1800,良,**,1:49.6,1.0,**,8-8-8,37.1-33.8,34.1,496(+2),,,メイサウザンアワー,,,,,,,
2018104971,2021/03/20,2中山7,晴,6.0,3歳1勝クラス,,16.0,7.0,13,18.9,7,5,武藤雅,54,芝1600,良,**,1:36.2,0.7,**,16-6-5,36.7-34.8,34.9,494(+2),,,シュバルツカイザー,73.0,,,,,,
2018104971,2021/02/06,1東京3,晴,9.0,春菜賞(1勝クラス),,16.0,8.0,15,21.4,7,4,石橋脩,54,芝1400,良,**,1:22.8,0.7,**,11-8,36.0-33.8,33.6,492(0),,,アヴェラーレ,150.0,,,,,,
2018104971,2020/12/06,3中京2,晴,9.0,こうやまき賞(1勝クラス),,8.0,4.0,4,38.1,8,4,田辺裕信,54,芝1600,良,**,1:34.4,0.3,**,3-3-3,36.4-34.0,34.0,492(-2),,,ダディーズビビッド,150.0,,,,,,
2018104971,2020/10/04,4中山9,曇,2.0,2歳未勝利,,16.0,5.0,9,6.0,3,1,川田将雅,54,芝1600,良,**,1:35.9,-0.3,**,2-2-2,35.2-36.2,36.0,494(-2),,,(ラインプリンス),510.0,,,,,,
2018104971,2020/08/08,2新潟5,雨,1.0,2歳未勝利,,18.0,1.0,1,9.0,4,11,戸崎圭太,54,芝1600,稍,**,1:37.2,1.9,**,16-14,35.5-35.4,35.9,496(-2),,,ショックアクション,,,,,,,
2018104971,2020/06/28,3東京8,雨,5.0,2歳新馬,,15.0,7.0,13,6.0,3,4,斎藤新,53,芝1600,不,**,1:40.6,0.7,**,4-2,36.4-37.8,38.3,498(0),,,ロードマックス,110.0,,,,,,
2017105648,2021/11/04,門別,晴,3.0,オレガノ特別,,12.0,2.0,2,21.9,6,3,井上俊彦,54,ダ1200,重,**,1:14.2,0.3,**,8-6,0.0-38.3,37.7,466(-2),,,ダイメイティアラ,9.5,,,,,,
2017105648,2021/10/20,門別,雨,2.0,カムイエクウチカウシ,,12.0,7.0,9,124.7,10,5,井上俊彦,54,ダ1200,不,**,1:14.3,0.8,**,5-4,0.0-38.0,37.9,468(-4),,,ジランドール,2.1,,,,,,
2017105648,2021/10/06,門別,曇,3.0,3歳以上C4ー1,,9.0,2.0,2,12.3,6,3,石川倭,54,ダ1200,不,**,1:15.1,0.4,**,6-3,0.0-38.2,37.4,472(-6),,,デンジャーマン,6.3,,,,,,
2017105648,2021/09/21,門別,曇,5.0,日高グリーンアドベン,,11.0,4.0,4,7.2,3,11,石川倭,54,ダ1200,重,**,1:17.4,2.9,**,6-6,0.0-38.8,41.0,478(+24),,,エムケードリーム,,,,,,,
2017105648,2021/07/10,1函館3,雨,7.0,3歳以上1勝クラス,,14.0,5.0,8,260.7,14,13,山田敬士,53,ダ1700,稍,**,1:49.0,3.5,**,12-13-14-13,29.6-38.9,40.6,454(-8),,,キープイットシンポ,,,,,,,
2017105648,2021/06/27,1札幌6,晴,9.0,3歳以上1勝クラス,,14.0,7.0,11,365.9,14,14,山田敬士,53,芝1500,良,**,1:30.0,2.7,**,14-14-14,29.4-34.8,35.3,462(-11),,,ヴァトレニ,,,,,,,
2017105648,2020/11/23,盛岡,曇,1.0,C2九組,,7.0,4.0,4,5.6,3,1,鈴木祐,54,ダ1200,不,**,1:14.1,-0.1,**,5-3,0.0-38.3,37.5,473(-9),,,(ウインクルジェーン),25.0,,,,,,
2017105648,2020/11/07,盛岡,曇,5.0,C2九組,,8.0,2.0,2,13.5,3,4,鈴木祐,54,ダ1200,稍,**,1:14.6,1.5,**,5-4,0.0-36.5,37.4,482(+2),,,ヤマニンガラッシア,2.5,,,,,,
2017105648,2020/10/24,盛岡,曇,2.0,C2十組,,7.0,2.0,2,3.1,2,1,鈴木祐,54,ダ1200,良,**,1:16.0,-1.7,**,3-2,0.0-39.2,38.2,480(+1),,,(ヤマニンファボリ),25.0,,,,,,
2017105648,2020/10/11,盛岡,曇,6.0,3歳50万円以下,,12.0,6.0,7,21.5,8,4,鈴木祐,54,芝1600,良,**,1:40.2,1.1,**,9-6-6-5,0.0-37.4,37.2,479(-2),,,モカ,3.0,,,,,,
2017105648,2020/09/26,盛岡,曇,1.0,C2十一組,,10.0,8.0,10,65.6,7,5,鈴木祐,54,ダ1200,稍,**,1:16.1,2.5,**,2-4,0.0-37.3,39.6,481(+5),,,パンディーロ,1.5,,,,,,
2017105648,2020/07/05,2福島2,曇,7.0,3歳未勝利,,15.0,1.0,1,157.0,12,13,菅原明良,52,芝2000,重,**,2:14.6,12.4,**,15-15-15-13,35.3-36.1,47.2,476(0),,,トラストワージー,,,,,,,
2018101189,2022/03/19,2中京3,曇,10.0,豊橋S(3勝クラス),,16.0,5.0,10,45.0,11,3,石橋脩,55,芝1600,稍,**,1:34.4,0.1,**,4-5-6,35.2-36.0,35.3,480(-10),,,ディヴィーナ,465.0,,,,,,
2018101189,2021/11/28,5阪神8,晴,10.0,立雲峡S(3勝クラス),,11.0,4.0,4,4.7,3,9,幸英明,52,芝1600,良,**,1:33.8,0.9,**,3-2,35.3-34.7,35.5,490(-2),,,ラヴユーライヴ,,,,,,,
2018101189,2021/11/06,5東京1,晴,10.0,ノベンバーS(3勝クラス),,9.0,3.0,3,5.7,3,6,横山武史,53,芝1800,良,**,1:46.6,0.5,**,2-2-2,36.0-34.2,34.7,492(-10),,,イルーシヴパンサー,,,,,,,
2018101189,2021/10/17,4阪神4,晴,10.0,西宮S(3勝クラス),,15.0,3.0,4,8.9,5,4,池添謙一,53,芝1800,良,**,1:46.9,0.8,**,3-4,36.6-34.2,34.7,502(-4),,,ジェラルディーナ,270.0,,,,,,
2018101189,2021/08/08,1函館12,曇,9.0,松前特別(2勝クラス),,12.0,5.0,6,2.8,2,1,横山武史,52,芝1800,良,**,1:48.5,-0.3,**,1-1-1-1,36.6-36.4,36.4,506(+6),,,(キタノインパクト),1527.3,,,,,,
2018101189,2021/07/10,1函館3,雨,8.0,3歳以上1勝クラス,,15.0,4.0,7,3.3,1,1,池添謙一,52,芝1800,稍,**,1:49.5,-0.2,**,7-7-4-5,36.4-36.2,35.9,500(+16),,,(ヴェントボニート),760.0,,,,,,
2018101189,2021/04/11,2阪神6,晴,9.0,忘れな草賞(L),,11.0,8.0,10,18.2,7,9,池添謙一,54,芝2000,良,**,1:59.3,1.3,**,2-3-2-2,35.3-34.9,36.1,484(-6),,,ステラリア,,,,,,,
2018101189,2021/03/27,2阪神1,晴,9.0,君子蘭賞(1勝クラス),,10.0,3.0,3,18.1,7,2,池添謙一,54,芝1800,良,**,1:47.6,0.0,**,1-1,36.4-33.7,33.7,490(+6),,,ニーナドレス,407.6,,,,,,
2018101189,2021/02/13,1阪神1,晴,1.0,3歳未勝利,,12.0,8.0,11,1.9,1,1,武豊,54,ダ1800,良,**,1:55.8,-0.1,**,2-2-2-2,38.4-38.5,38.4,484(-6),,,(ヴェールアップ),510.0,,,,,,
2018101189,2021/01/24,1中京8,小雨,6.0,3歳新馬,,15.0,2.0,2,7.1,3,3,福永祐一,54,芝1600,不,**,1:37.3,0.3,**,2-3-4,36.5-36.1,36.1,490(0),,,ジャスティンカフェ,150.0,,,,,,
2017101317,2022/03/06,1阪神8,晴,7.0,4歳以上1勝クラス,,16.0,4.0,7,8.5,6,4,大久保友,52,芝1600,良,**,1:34.0,0.7,**,10-11,34.5-35.3,34.9,424(-6),,,ジュノー,120.0,,,,,,
2017101317,2021/12/04,6中京1,曇,7.0,3歳以上1勝クラス,,18.0,2.0,4,7.7,4,7,小沢大仁,52,芝1400,良,**,1:21.6,0.4,**,15-14,33.7-35.7,34.7,430(+4),,,スーパーホープ,,,,,,,
2017101317,2021/07/18,1函館6,晴,9.0,恵山特別(1勝クラス),,13.0,3.0,3,12.2,4,3,武豊,55,芝1800,良,**,1:48.5,0.3,**,6-6-7-7,35.7-35.2,34.9,426(+4),,,ホウオウサミット,274.7,,,,,,
2017101317,2021/07/10,1函館3,雨,8.0,3歳以上1勝クラス,,15.0,4.0,6,11.0,4,2,武豊,55,芝1800,稍,**,1:49.7,0.2,**,8-10-7-9,36.4-36.2,35.9,422(+6),,,テーオーラフィット,300.0,,,,,,
2017101317,2021/04/25,2阪神10,晴,8.0,4歳以上1勝クラス,,12.0,4.0,4,3.0,2,8,池添謙一,55,芝1400,良,**,1:21.6,0.6,**,7-4,34.5-35.0,35.2,416(0),,,ヤマニンプティパ,,,,,,,
2017101317,2021/03/28,2阪神2,雨,7.0,4歳以上1勝クラス,,11.0,5.0,5,6.5,3,3,団野大成,55,芝1600,稍,**,1:34.9,0.6,**,7-9,35.7-34.8,34.8,416(+8),,,ロータスランド,190.0,,,,,,
2017101317,2020/09/12,2中京1,晴,12.0,3歳以上1勝クラス,,13.0,1.0,1,3.3,2,5,松山弘平,53,芝1600,良,**,1:34.7,0.1,**,4-5-4,35.6-35.0,34.6,408(-6),,,オーマイダーリン,76.0,,,,,,
2017101317,2020/08/29,2小倉5,晴,12.0,3歳以上1勝クラス,,13.0,2.0,2,2.7,1,4,松山弘平,52,芝1800,良,**,1:47.2,0.2,**,10-9-9-9,36.4-35.3,34.3,414(0),,,ラインオブダンス,110.0,,,,,,
2017101317,2020/06/28,3阪神8,曇,3.0,3歳未勝利,,18.0,8.0,16,2.5,1,1,ルメール,54,芝1600,稍,**,1:34.3,-0.5,**,6-5,35.0-35.8,34.8,414(-4),,,(ホウショウエポック),510.0,,,,,,
2017101317,2020/06/13,3阪神3,雨,4.0,3歳未勝利,,18.0,1.0,1,5.5,3,2,幸英明,54,芝1600,稍,**,1:35.3,0.0,**,14-13,34.6-36.5,35.2,418(+6),,,トウケイミラ,200.0,,,,,,
2017101317,2020/04/04,2阪神3,晴,4.0,3歳未勝利,,18.0,2.0,3,39.7,7,3,池添謙一,54,芝1600,良,**,1:35.2,0.2,**,4-4,35.2-34.9,34.9,412(0),,,ユピテルルークス,130.0,,,,,,
2018102202,2022/02/05,1東京3,曇,12.0,4歳以上2勝クラス,,16.0,5.0,9,5.0,2,8,ルメール,57,ダ1600,良,**,1:38.7,0.9,**,10-8,35.0-37.3,37.7,516(+4),,,キタノリューオー,,,,,,,
2018102202,2021/11/28,5東京8,晴,5.0,3歳以上1勝クラス,,16.0,8.0,16,4.5,2,1,ルメール,56,ダ1600,良,**,1:37.4,-0.4,**,6-6,34.7-37.2,36.6,512(-2),,,(ロンコーネ),760.0,,,,,,
2018102202,2021/10/31,4東京8,小雨,7.0,3歳以上1勝クラス,,12.0,1.0,1,5.0,3,3,ルメール,55,ダ1600,良,**,1:38.6,0.7,**,3-3,35.5-36.9,37.4,514(+2),,,エコロファルコン,190.0,,,,,,
2018102202,2021/10/09,4東京1,晴,8.0,3歳以上1勝クラス,,16.0,1.0,1,2.9,1,7,ルメール,55,ダ1600,良,**,1:37.5,1.0,**,1-1,34.6-37.5,38.5,512(+2),,,キタノリューオー,,,,,,,
2018102202,2021/08/07,1函館11,晴,9.0,八雲特別(1勝クラス),,10.0,8.0,9,5.0,2,2,ルメール,54,芝1800,良,**,1:48.4,0.0,**,2-2-2-2,36.8-35.9,35.8,510(+4),,,アイリッシュムーン,428.0,,,,,,
2018102202,2021/07/10,1函館3,雨,8.0,3歳以上1勝クラス,,15.0,3.0,5,3.7,2,3,ルメール,54,芝1800,稍,**,1:49.8,0.3,**,10-8-7-6,36.4-36.2,35.9,506(0),,,テーオーラフィット,190.0,,,,,,
2018102202,2021/06/12,3東京3,晴,3.0,3歳未勝利,,16.0,2.0,4,1.5,1,1,ルメール,56,ダ1600,良,**,1:37.3,-0.1,**,1-1,35.6-37.0,37.0,506(-6),,,(エクセルローグ),510.0,,,,,,
2018102202,2021/05/23,2東京10,晴,2.0,3歳未勝利,,16.0,1.0,2,1.7,1,2,ルメール,56,ダ1600,稍,**,1:37.7,0.2,**,2-2,35.6-37.9,38.1,512(-4),,,ランカンカン,200.0,,,,,,
2018102202,2021/05/01,2東京3,晴,1.0,3歳未勝利,,16.0,4.0,8,1.8,1,4,ルメール,56,ダ1600,稍,**,1:38.6,0.4,**,5-4,34.4-38.3,38.2,516(+4),,,アシタガアルサ,77.0,,,,,,
2018102202,2021/02/14,1東京6,晴,3.0,3歳未勝利,,16.0,5.0,9,3.0,1,3,ルメール,56,ダ1600,良,**,1:39.6,0.4,**,10-8,36.2-37.2,36.9,512(-8),,,コンソレーション,130.0,,,,,,
2018102202,2021/01/24,1中山8,雨,3.0,3歳未勝利,,15.0,8.0,15,5.0,3,2,ルメール,56,ダ1800,不,**,1:54.8,0.2,**,8-7-7-6,37.8-38.7,38.4,520(0),,,スクリーンプロセス,200.0,,,,,,
2018102202,2020/12/26,5中山7,晴,3.0,2歳未勝利,,18.0,4.0,8,11.5,6,13,戸崎圭太,55,芝2000,良,**,2:05.2,2.2,**,17-17-15-15,36.6-37.2,37.6,520(+4),,,タイムトゥヘヴン,,,,,,,
2018102202,2020/07/18,2函館5,曇,1.0,2歳未勝利,,11.0,3.0,3,4.2,3,5,ルメール,54,芝1800,良,**,1:51.3,1.5,**,7-7-5-3,35.7-37.4,38.3,516(-6),,,ウイングリュック,51.0,,,,,,
2018102202,2020/06/14,3東京4,雨,5.0,2歳新馬,,12.0,8.0,11,7.1,3,11,Ｍ．デム,54,芝1800,不,**,1:55.1,2.5,**,8-12-11,38.1-35.6,37.2,522(0),,,ユーバーレーベン,,,,,,,
2018101562,2021/12/18,6中京5,晴,9.0,3歳以上1勝クラス,,18.0,8.0,18,32.3,10,10,小沢大仁,52,芝2200,良,**,2:15.0,1.2,**,17-17-14-14,35.5-36.6,36.5,474(0),,,チャックネイト,,,,,,,
2018101562,2021/12/04,6中京1,曇,12.0,栄特別(1勝クラス),,18.0,8.0,17,19.6,8,7,藤岡康太,56,芝2000,良,**,2:01.7,0.8,**,7-7-5-3,36.0-35.5,36.1,474(+4),,,ビッグリボン,,,,,,,
2018101562,2021/11/14,2福島4,晴,8.0,3歳以上1勝クラス,,16.0,3.0,6,12.7,7,6,永野猛蔵,52,芝2000,良,**,2:01.6,1.0,**,11-11-11-12,34.9-36.0,36.3,470(+2),,,タイフォン,,,,,,,
2018101562,2021/10/31,5新潟8,晴,8.0,3歳以上1勝クラス,,14.0,8.0,14,3.9,2,5,津村明秀,55,芝2000,良,**,2:01.0,0.7,**,13-13,36.2-35.5,34.5,468(-4),,,エシカル,76.0,,,,,,
2018101562,2021/08/28,2札幌5,晴,9.0,ルスツ特別(1勝クラス),,14.0,7.0,11,8.3,6,6,泉谷楓真,54,芝2600,良,**,2:42.1,1.0,**,8-7-6-5,36.6-37.8,38.4,472(+2),,,モンテディオ,,,,,,,
2018101562,2021/08/08,1函館12,曇,8.0,3歳以上1勝クラス,,16.0,3.0,6,7.0,4,2,泉谷楓真,53,芝2000,良,**,2:02.0,0.3,**,7-6-6-7,35.9-37.0,36.8,470(+4),,,エアサージュ,300.0,,,,,,
2018101562,2021/07/24,1函館7,晴,9.0,奥尻特別(1勝クラス),,12.0,7.0,10,10.7,5,4,泉谷楓真,54,芝2000,良,**,2:01.0,0.6,**,9-6-7-4,35.3-35.9,35.8,466(-4),,,ポールトゥウィン,160.0,,,,,,
2018101562,2021/07/10,1函館3,雨,8.0,3歳以上1勝クラス,,15.0,3.0,4,6.6,3,5,泉谷楓真,53,芝1800,稍,**,1:49.9,0.4,**,14-14-13-15,36.4-36.2,35.6,470(+2),,,テーオーラフィット,76.0,,,,,,
2018101562,2021/06/26,1札幌5,晴,10.0,北辰特別(1勝クラス),,14.0,5.0,7,6.6,5,4,大野拓弥,54,芝1800,良,**,1:47.9,0.5,**,14-14-13-11,36.1-35.4,34.2,468(+8),,,ナリタブレード,160.0,,,,,,
2018101562,2021/05/15,3中京3,晴,9.0,あずさ賞(1勝クラス),,9.0,2.0,2,12.9,6,4,団野大成,56,芝2000,良,**,2:01.3,0.3,**,7-7-5-4,37.1-34.2,33.9,460(-4),,,カイザーバローズ,150.0,,,,,,
2018101562,2021/04/18,2阪神8,曇,6.0,3歳1勝クラス,,7.0,6.0,6,8.9,4,4,角田大和,53,芝2000,稍,**,2:02.3,0.7,**,5-5-5-3,36.6-36.0,36.4,464(-2),,,ヴァリアメンテ,110.0,,,,,,
2018101562,2021/03/27,2中京5,晴,5.0,3歳未勝利,,16.0,4.0,8,5.2,2,1,角田大和,53,芝2200,良,**,2:13.9,-0.3,**,4-4-3-3,36.1-36.2,35.3,466(-4),,,(ブリンク),510.0,,,,,,
